# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 1, Part A: "Relative Prices of Farm Products — Individual Series"
# Pages 429-433. Relative prices (index, base=100).
date,commodity,city,value
1861-04,Tobacco: Wrappers Conn.,New York,94
1861-07,Tobacco: Wrappers Conn.,New York,74
1861-10,Tobacco: Wrappers Conn.,New York,74
1862-01,Tobacco: Wrappers Conn.,New York,88
1862-04,Tobacco: Wrappers Conn.,New York,94
1862-07,Tobacco: Wrappers Conn.,New York,94
1862-10,Tobacco: Wrappers Conn.,New York,118
1863-01,Tobacco: Wrappers Conn.,New York,191
1863-04,Tobacco: Wrappers Conn.,New York,191
1863-07,Tobacco: Wrappers Conn.,New York,191
1863-10,Tobacco: Wrappers Conn.,New York,191
1864-01,Tobacco: Wrappers Conn.,New York,255
1864-04,Tobacco: Wrappers Conn.,New York,265
1864-07,Tobacco: Wrappers Conn.,New York,265
1864-10,Tobacco: Wrappers Conn.,New York,265
1865-01,Tobacco: Wrappers Conn.,New York,265
1865-04,Tobacco: Wrappers Conn.,New York,265
1865-07,Tobacco: Wrappers Conn.,New York,265
1865-10,Tobacco: Wrappers Conn.,New York,265
1866-01,Tobacco: Wrappers Conn.,New York,115
1866-04,Tobacco: Wrappers Conn.,New York,115
1866-07,Tobacco: Wrappers Conn.,New York,115
1866-10,Tobacco: Wrappers Conn.,New York,169
1860-01,Tobacco: Leaf Ky.,New York,112
1860-04,Tobacco: Leaf Ky.,New York,98
1860-07,Tobacco: Leaf Ky.,New York,
1860-10,Tobacco: Leaf Ky.,New York,101
1861-01,Tobacco: Leaf Ky.,New York,104
1861-04,Tobacco: Leaf Ky.,New York,96
1861-07,Tobacco: Leaf Ky.,New York,110
1861-10,Tobacco: Leaf Ky.,New York,223
1862-01,Tobacco: Leaf Ky.,New York,146
1862-04,Tobacco: Leaf Ky.,New York,152
1862-07,Tobacco: Leaf Ky.,New York,133
1862-10,Tobacco: Leaf Ky.,New York,
1863-01,Tobacco: Leaf Ky.,New York,259
1863-04,Tobacco: Leaf Ky.,New York,312
1863-07,Tobacco: Leaf Ky.,New York,328
1863-10,Tobacco: Leaf Ky.,New York,
1864-01,Tobacco: Leaf Ky.,New York,262
1864-04,Tobacco: Leaf Ky.,New York,253
1864-07,Tobacco: Leaf Ky.,New York,253
1864-10,Tobacco: Leaf Ky.,New York,318
1865-01,Tobacco: Leaf Ky.,New York,387
1865-04,Tobacco: Leaf Ky.,New York,226
1865-07,Tobacco: Leaf Ky.,New York,297
1865-10,Tobacco: Leaf Ky.,New York,333
1866-01,Tobacco: Leaf Ky.,New York,297
1866-04,Tobacco: Leaf Ky.,New York,297
1866-07,Tobacco: Leaf Ky.,New York,297
1866-10,Tobacco: Leaf Ky.,New York,272
1860-01,Wheat: Winter,New York,102
1860-04,Wheat: Winter,New York,105
1860-07,Wheat: Winter,New York,102
1860-10,Wheat: Winter,New York,91
1861-01,Wheat: Winter,New York,96
1861-04,Wheat: Winter,New York,99
1861-07,Wheat: Winter,New York,78
1861-10,Wheat: Winter,New York,85
1862-01,Wheat: Winter,New York,103
1862-04,Wheat: Winter,New York,97
1862-07,Wheat: Winter,New York,96
1862-10,Wheat: Winter,New York,93
1863-01,Wheat: Winter,New York,107
1863-04,Wheat: Winter,New York,135
1863-07,Wheat: Winter,New York,108
1863-10,Wheat: Winter,New York,98
1864-01,Wheat: Winter,New York,116
1864-04,Wheat: Winter,New York,126
1864-07,Wheat: Winter,New York,190
1864-10,Wheat: Winter,New York,143
1865-01,Wheat: Winter,New York,185
1865-04,Wheat: Winter,New York,134
1865-07,Wheat: Winter,New York,107
1865-10,Wheat: Winter,New York,166
1866-01,Wheat: Winter,New York,148
1866-04,Wheat: Winter,New York,141
1866-07,Wheat: Winter,New York,177
1866-10,Wheat: Winter,New York,199
1860-01,Wheat: Spring,New York,105
1860-04,Wheat: Spring,New York,98
1860-07,Wheat: Spring,New York,103
1860-10,Wheat: Spring,New York,94
1861-01,Wheat: Spring,New York,
1861-04,Wheat: Spring,New York,102
1861-07,Wheat: Spring,New York,65
1861-10,Wheat: Spring,New York,94
1862-01,Wheat: Spring,New York,103
1862-04,Wheat: Spring,New York,102
1862-07,Wheat: Spring,New York,85
1862-10,Wheat: Spring,New York,92
1863-01,Wheat: Spring,New York,103
1863-04,Wheat: Spring,New York,99
1863-07,Wheat: Spring,New York,102
1863-10,Wheat: Spring,New York,103
1864-01,Wheat: Spring,New York,118
1864-04,Wheat: Spring,New York,131
1864-07,Wheat: Spring,New York,193
1864-10,Wheat: Spring,New York,149
1865-01,Wheat: Spring,New York,184
1865-04,Wheat: Spring,New York,135
1865-07,Wheat: Spring,New York,103
1865-10,Wheat: Spring,New York,141
1866-01,Wheat: Spring,New York,139
1866-04,Wheat: Spring,New York,112
1866-07,Wheat: Spring,New York,155
1866-10,Wheat: Spring,New York,177
1860-01,Wheat: Prime,Cincinnati,103
1860-04,Wheat: Prime,Cincinnati,110
1860-07,Wheat: Prime,Cincinnati,93
1860-10,Wheat: Prime,Cincinnati,95
1861-01,Wheat: Prime,Cincinnati,84
1861-04,Wheat: Prime,Cincinnati,83
1861-07,Wheat: Prime,Cincinnati,63
1861-10,Wheat: Prime,Cincinnati,
1862-01,Wheat: Prime,Cincinnati,105
1862-04,Wheat: Prime,Cincinnati,78
1862-07,Wheat: Prime,Cincinnati,69
1862-10,Wheat: Prime,Cincinnati,72
1863-01,Wheat: Prime,Cincinnati,83
1863-04,Wheat: Prime,Cincinnati,108
1863-07,Wheat: Prime,Cincinnati,89
1863-10,Wheat: Prime,Cincinnati,93
1864-01,Wheat: Prime,Cincinnati,110
1864-04,Wheat: Prime,Cincinnati,110
1864-07,Wheat: Prime,Cincinnati,169
1864-10,Wheat: Prime,Cincinnati,143
1865-01,Wheat: Prime,Cincinnati,173
1865-04,Wheat: Prime,Cincinnati,127
1865-07,Wheat: Prime,Cincinnati,105
1865-10,Wheat: Prime,Cincinnati,181
1866-01,Wheat: Prime,Cincinnati,165
1866-04,Wheat: Prime,Cincinnati,198
1866-07,Wheat: Prime,Cincinnati,228
1866-10,Wheat: Prime,Cincinnati,226
1860-01,Wheat: No. 2 Winter,Chicago,99
1860-04,Wheat: No. 2 Winter,Chicago,105
1860-07,Wheat: No. 2 Winter,Chicago,105
1860-10,Wheat: No. 2 Winter,Chicago,91
1861-01,Wheat: No. 2 Winter,Chicago,96
1861-04,Wheat: No. 2 Winter,Chicago,81
1861-07,Wheat: No. 2 Winter,Chicago,57
1861-10,Wheat: No. 2 Winter,Chicago,74
1862-01,Wheat: No. 2 Winter,Chicago,71
1862-04,Wheat: No. 2 Winter,Chicago,73
1862-07,Wheat: No. 2 Winter,Chicago,75
1862-10,Wheat: No. 2 Winter,Chicago,85
1863-01,Wheat: No. 2 Winter,Chicago,93
1863-04,Wheat: No. 2 Winter,Chicago,112
1863-07,Wheat: No. 2 Winter,Chicago,100
1863-10,Wheat: No. 2 Winter,Chicago,96
1864-01,Wheat: No. 2 Winter,Chicago,108
1864-04,Wheat: No. 2 Winter,Chicago,123
1864-07,Wheat: No. 2 Winter,Chicago,176
1864-10,Wheat: No. 2 Winter,Chicago,129
1865-01,Wheat: No. 2 Winter,Chicago,144
1865-04,Wheat: No. 2 Winter,Chicago,
1865-07,Wheat: No. 2 Winter,Chicago,111
1865-10,Wheat: No. 2 Winter,Chicago,132
1866-01,Wheat: No. 2 Winter,Chicago,98
1866-04,Wheat: No. 2 Winter,Chicago,93
1866-07,Wheat: No. 2 Winter,Chicago,
1866-10,Wheat: No. 2 Winter,Chicago,191
1860-01,Wheat: No. 2 Spring,Chicago,99
1860-04,Wheat: No. 2 Spring,Chicago,105
1860-07,Wheat: No. 2 Spring,Chicago,108
1860-10,Wheat: No. 2 Spring,Chicago,88
1861-01,Wheat: No. 2 Spring,Chicago,82
1861-04,Wheat: No. 2 Spring,Chicago,
1861-07,Wheat: No. 2 Spring,Chicago,
1861-10,Wheat: No. 2 Spring,Chicago,74
1862-01,Wheat: No. 2 Spring,Chicago,70
1862-04,Wheat: No. 2 Spring,Chicago,74
1862-07,Wheat: No. 2 Spring,Chicago,73
1862-10,Wheat: No. 2 Spring,Chicago,83
1863-01,Wheat: No. 2 Spring,Chicago,86
1863-04,Wheat: No. 2 Spring,Chicago,110
1863-07,Wheat: No. 2 Spring,Chicago,97
1863-10,Wheat: No. 2 Spring,Chicago,104
1864-01,Wheat: No. 2 Spring,Chicago,115
1864-04,Wheat: No. 2 Spring,Chicago,114
1864-07,Wheat: No. 2 Spring,Chicago,169
1864-10,Wheat: No. 2 Spring,Chicago,149
1865-01,Wheat: No. 2 Spring,Chicago,160
1865-04,Wheat: No. 2 Spring,Chicago,101
1865-07,Wheat: No. 2 Spring,Chicago,92
1865-10,Wheat: No. 2 Spring,Chicago,126
1866-01,Wheat: No. 2 Spring,Chicago,96
1866-04,Wheat: No. 2 Spring,Chicago,93
1866-07,Wheat: No. 2 Spring,Chicago,119
1866-10,Wheat: No. 2 Spring,Chicago,185
